type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,25017301101,White,04/2023,0,0,2023-11-04
Census Tract,25017301101,White,05/2023,0,0,2023-11-04
Census Tract,25017301101,White,06/2023,0,0,2023-11-04
Census Tract,25017301101,White,07/2023,0,0,2023-11-04
Census Tract,25017301101,White,08/2023,0,0,2023-11-04
Census Tract,25017301101,White,09/2023,0,0,2023-11-04
Census Tract,25017301101,White,10/2023,0,0,2023-11-04
Census Tract,25017301101,White,11/2023,0,0,2023-11-04
Census Tract,25017301102,White,01/2020,0,0,2023-11-04
Census Tract,25017301102,White,02/2020,0,0,2023-11-04
Census Tract,25017301102,White,03/2020,0,0,2023-11-04
Census Tract,25017301102,White,04/2020,0,0,2023-11-04
Census Tract,25017301102,White,05/2020,0,0,2023-11-04
Census Tract,25017301102,White,06/2020,0,0,2023-11-04
Census Tract,25017301102,White,07/2020,0,0,2023-11-04
Census Tract,25017301102,White,08/2020,0,0,2023-11-04
Census Tract,25017301102,White,09/2020,0,0,2023-11-04
Census Tract,25017301102,White,10/2020,0,0,2023-11-04
Census Tract,25017301102,White,11/2020,0,0,2023-11-04
Census Tract,25017301102,White,12/2020,0,0,2023-11-04
Census Tract,25017301102,White,01/2021,0,0,2023-11-04
Census Tract,25017301102,White,02/2021,0,0,2023-11-04
Census Tract,25017301102,White,03/2021,0,0,2023-11-04
Census Tract,25017301102,White,04/2021,0,0,2023-11-04
Census Tract,25017301102,White,05/2021,0,0,2023-11-04
Census Tract,25017301102,White,06/2021,0,0,2023-11-04
Census Tract,25017301102,White,07/2021,0,0,2023-11-04
Census Tract,25017301102,White,08/2021,0,0,2023-11-04
Census Tract,25017301102,White,09/2021,0,0,2023-11-04
Census Tract,25017301102,White,10/2021,0,0,2023-11-04
Census Tract,25017301102,White,11/2021,0,0,2023-11-04
Census Tract,25017301102,White,12/2021,0,0,2023-11-04
Census Tract,25017301102,White,01/2022,0,0,2023-11-04
Census Tract,25017301102,White,02/2022,0,0,2023-11-04
Census Tract,25017301102,White,03/2022,0,0,2023-11-04
Census Tract,25017301102,White,04/2022,0,0,2023-11-04
Census Tract,25017301102,White,05/2022,0,0,2023-11-04
Census Tract,25017301102,White,06/2022,0,0,2023-11-04
Census Tract,25017301102,White,07/2022,0,0,2023-11-04
Census Tract,25017301102,White,08/2022,0,0,2023-11-04
Census Tract,25017301102,White,09/2022,0,0,2023-11-04
Census Tract,25017301102,White,10/2022,0,0,2023-11-04
Census Tract,25017301102,White,11/2022,0,0,2023-11-04
Census Tract,25017301102,White,12/2022,0,0,2023-11-04
Census Tract,25017301102,White,01/2023,0,0,2023-11-04
Census Tract,25017301102,White,02/2023,0,0,2023-11-04
Census Tract,25017301102,White,03/2023,0,0,2023-11-04
Census Tract,25017301102,White,04/2023,0,0,2023-11-04
Census Tract,25017301102,White,05/2023,0,0,2023-11-04
Census Tract,25017301102,White,06/2023,0,0,2023-11-04
Census Tract,25017301102,White,07/2023,0,0,2023-11-04
Census Tract,25017301102,White,08/2023,0,0,2023-11-04
Census Tract,25017301102,White,09/2023,0,0,2023-11-04
Census Tract,25017301102,White,10/2023,0,0,2023-11-04
Census Tract,25017301102,White,11/2023,0,0,2023-11-04
Census Tract,25017310101,Other,01/2020,0,0,2023-11-04
Census Tract,25017310101,Other,02/2020,0,0,2023-11-04
Census Tract,25017310101,Other,03/2020,0,0,2023-11-04
Census Tract,25017310101,Other,04/2020,0,0,2023-11-04
Census Tract,25017310101,Other,05/2020,0,0,2023-11-04
Census Tract,25017310101,Other,06/2020,0,0,2023-11-04
Census Tract,25017310101,Other,07/2020,0,0,2023-11-04
Census Tract,25017310101,Other,08/2020,0,0,2023-11-04
Census Tract,25017310101,Other,09/2020,0,0,2023-11-04
Census Tract,25017310101,Other,10/2020,0,0,2023-11-04
Census Tract,25017310101,Other,11/2020,0,0,2023-11-04
Census Tract,25017310101,Other,12/2020,0,0,2023-11-04
Census Tract,25017310101,Other,01/2021,0,0,2023-11-04
Census Tract,25017310101,Other,02/2021,0,0,2023-11-04
Census Tract,25017310101,Other,03/2021,0,0,2023-11-04
Census Tract,25017310101,Other,04/2021,0,0,2023-11-04
Census Tract,25017310101,Other,05/2021,0,0,2023-11-04
Census Tract,25017310101,Other,06/2021,0,0,2023-11-04
Census Tract,25017310101,Other,07/2021,0,0,2023-11-04
Census Tract,25017310101,Other,08/2021,0,0,2023-11-04
Census Tract,25017310101,Other,09/2021,0,0,2023-11-04
Census Tract,25017310101,Other,10/2021,0,0,2023-11-04
Census Tract,25017310101,Other,11/2021,0,0,2023-11-04
Census Tract,25017310101,Other,12/2021,0,0,2023-11-04
Census Tract,25017310101,Other,01/2022,0,0,2023-11-04
Census Tract,25017310101,Other,02/2022,0,0,2023-11-04
Census Tract,25017310101,Other,03/2022,0,0,2023-11-04
Census Tract,25017310101,Other,04/2022,0,0,2023-11-04
Census Tract,25017310101,Other,05/2022,0,0,2023-11-04
Census Tract,25017310101,Other,06/2022,0,0,2023-11-04
Census Tract,25017310101,Other,07/2022,0,0,2023-11-04
Census Tract,25017310101,Other,08/2022,0,0,2023-11-04
Census Tract,25017310101,Other,09/2022,0,0,2023-11-04
Census Tract,25017310101,Other,10/2022,0,0,2023-11-04
Census Tract,25017310101,Other,11/2022,0,0,2023-11-04
Census Tract,25017310101,Other,12/2022,0,0,2023-11-04
Census Tract,25017310101,Other,01/2023,0,0,2023-11-04
Census Tract,25017310101,Other,02/2023,0,0,2023-11-04
Census Tract,25017310101,Other,03/2023,0,0,2023-11-04
Census Tract,25017310101,Other,04/2023,0,0,2023-11-04
Census Tract,25017310101,Other,05/2023,0,0,2023-11-04
Census Tract,25017310101,Other,06/2023,0,0,2023-11-04
Census Tract,25017310101,Other,07/2023,0,0,2023-11-04
Census Tract,25017310101,Other,08/2023,0,0,2023-11-04
Census Tract,25017310101,Other,09/2023,0,0,2023-11-04
Census Tract,25017310101,Other,10/2023,0,0,2023-11-04
Census Tract,25017310101,Other,11/2023,0,0,2023-11-04
Census Tract,25017310102,White,01/2020,0,0,2023-11-04
Census Tract,25017310102,White,02/2020,0,0,2023-11-04
Census Tract,25017310102,White,03/2020,0,0,2023-11-04
Census Tract,25017310102,White,04/2020,0,0,2023-11-04
Census Tract,25017310102,White,05/2020,0,0,2023-11-04
Census Tract,25017310102,White,06/2020,0,0,2023-11-04
Census Tract,25017310102,White,07/2020,0,0,2023-11-04
Census Tract,25017310102,White,08/2020,0,0,2023-11-04
Census Tract,25017310102,White,09/2020,0,0,2023-11-04
Census Tract,25017310102,White,10/2020,0,0,2023-11-04
Census Tract,25017310102,White,11/2020,0,0,2023-11-04
Census Tract,25017310102,White,12/2020,0,0,2023-11-04
Census Tract,25017310102,White,01/2021,0,0,2023-11-04
Census Tract,25017310102,White,02/2021,0,0,2023-11-04
Census Tract,25017310102,White,03/2021,0,0,2023-11-04
Census Tract,25017310102,White,04/2021,0,0,2023-11-04
Census Tract,25017310102,White,05/2021,0,0,2023-11-04
Census Tract,25017310102,White,06/2021,0,0,2023-11-04
Census Tract,25017310102,White,07/2021,0,0,2023-11-04
Census Tract,25017310102,White,08/2021,0,0,2023-11-04
Census Tract,25017310102,White,09/2021,0,0,2023-11-04
Census Tract,25017310102,White,10/2021,0,0,2023-11-04
Census Tract,25017310102,White,11/2021,0,0,2023-11-04
Census Tract,25017310102,White,12/2021,0,0,2023-11-04
Census Tract,25017310102,White,01/2022,0,0,2023-11-04
Census Tract,25017310102,White,02/2022,0,0,2023-11-04
Census Tract,25017310102,White,03/2022,0,0,2023-11-04
Census Tract,25017310102,White,04/2022,0,0,2023-11-04
Census Tract,25017310102,White,05/2022,0,0,2023-11-04
Census Tract,25017310102,White,06/2022,0,0,2023-11-04
Census Tract,25017310102,White,07/2022,0,0,2023-11-04
Census Tract,25017310102,White,08/2022,0,0,2023-11-04
Census Tract,25017310102,White,09/2022,0,0,2023-11-04
Census Tract,25017310102,White,10/2022,0,0,2023-11-04
Census Tract,25017310102,White,11/2022,0,0,2023-11-04
Census Tract,25017310102,White,12/2022,0,0,2023-11-04
Census Tract,25017310102,White,01/2023,0,0,2023-11-04
Census Tract,25017310102,White,02/2023,0,0,2023-11-04
Census Tract,25017310102,White,03/2023,0,0,2023-11-04
Census Tract,25017310102,White,04/2023,0,0,2023-11-04
Census Tract,25017310102,White,05/2023,0,0,2023-11-04
Census Tract,25017310102,White,06/2023,0,0,2023-11-04
Census Tract,25017310102,White,07/2023,0,0,2023-11-04
Census Tract,25017310102,White,08/2023,0,0,2023-11-04
Census Tract,25017310102,White,09/2023,0,0,2023-11-04
Census Tract,25017310102,White,10/2023,0,0,2023-11-04
Census Tract,25017310102,White,11/2023,0,0,2023-11-04
Census Tract,25017310200,Other,01/2020,0,0,2023-11-04
Census Tract,25017310200,Other,02/2020,0,0,2023-11-04
Census Tract,25017310200,Other,03/2020,0,0,2023-11-04
Census Tract,25017310200,Other,04/2020,0,0,2023-11-04
Census Tract,25017310200,Other,05/2020,0,0,2023-11-04
Census Tract,25017310200,Other,06/2020,0,0,2023-11-04
Census Tract,25017310200,Other,07/2020,0,0,2023-11-04
Census Tract,25017310200,Other,08/2020,0,0,2023-11-04
Census Tract,25017310200,Other,09/2020,0,0,2023-11-04
Census Tract,25017310200,Other,10/2020,0,0,2023-11-04
Census Tract,25017310200,Other,11/2020,0,0,2023-11-04
Census Tract,25017310200,Other,12/2020,0,0,2023-11-04
Census Tract,25017310200,Other,01/2021,0,0,2023-11-04
Census Tract,25017310200,Other,02/2021,0,0,2023-11-04
Census Tract,25017310200,Other,03/2021,0,0,2023-11-04
Census Tract,25017310200,Other,04/2021,0,0,2023-11-04
Census Tract,25017310200,Other,05/2021,0,0,2023-11-04
Census Tract,25017310200,Other,06/2021,0,0,2023-11-04
Census Tract,25017310200,Other,07/2021,0,0,2023-11-04
Census Tract,25017310200,Other,08/2021,0,0,2023-11-04
Census Tract,25017310200,Other,09/2021,0,0,2023-11-04
Census Tract,25017310200,Other,10/2021,0,0,2023-11-04
Census Tract,25017310200,Other,11/2021,0,0,2023-11-04
Census Tract,25017310200,Other,12/2021,0,0,2023-11-04
Census Tract,25017310200,Other,01/2022,0,0,2023-11-04
Census Tract,25017310200,Other,02/2022,0,0,2023-11-04
Census Tract,25017310200,Other,03/2022,0,0,2023-11-04
Census Tract,25017310200,Other,04/2022,0,0,2023-11-04
Census Tract,25017310200,Other,05/2022,0,0,2023-11-04
Census Tract,25017310200,Other,06/2022,0,0,2023-11-04
Census Tract,25017310200,Other,07/2022,0,0,2023-11-04
Census Tract,25017310200,Other,08/2022,0,0,2023-11-04
Census Tract,25017310200,Other,09/2022,0,0,2023-11-04
Census Tract,25017310200,Other,10/2022,0,0,2023-11-04
Census Tract,25017310200,Other,11/2022,0,0,2023-11-04
Census Tract,25017310200,Other,12/2022,0,0,2023-11-04
Census Tract,25017310200,Other,01/2023,0,0,2023-11-04
Census Tract,25017310200,Other,02/2023,0,0,2023-11-04
Census Tract,25017310200,Other,03/2023,0,0,2023-11-04
Census Tract,25017310200,Other,04/2023,0,0,2023-11-04
Census Tract,25017310200,Other,05/2023,0,0,2023-11-04
Census Tract,25017310200,Other,06/2023,0,0,2023-11-04
Census Tract,25017310200,Other,07/2023,0,0,2023-11-04
Census Tract,25017310200,Other,08/2023,0,0,2023-11-04
Census Tract,25017310200,Other,09/2023,0,0,2023-11-04
Census Tract,25017310200,Other,10/2023,0,0,2023-11-04
Census Tract,25017310200,Other,11/2023,0,0,2023-11-04
Census Tract,25017310300,White,01/2020,0,0,2023-11-04
Census Tract,25017310300,White,02/2020,0,0,2023-11-04
Census Tract,25017310300,White,03/2020,0,0,2023-11-04
Census Tract,25017310300,White,04/2020,0,0,2023-11-04
Census Tract,25017310300,White,05/2020,0,0,2023-11-04
Census Tract,25017310300,White,06/2020,0,0,2023-11-04
Census Tract,25017310300,White,07/2020,0,0,2023-11-04
Census Tract,25017310300,White,08/2020,0,0,2023-11-04
Census Tract,25017310300,White,09/2020,0,0,2023-11-04
Census Tract,25017310300,White,10/2020,0,0,2023-11-04
Census Tract,25017310300,White,11/2020,0,0,2023-11-04
Census Tract,25017310300,White,12/2020,0,0,2023-11-04
Census Tract,25017310300,White,01/2021,0,0,2023-11-04
Census Tract,25017310300,White,02/2021,0,0,2023-11-04
Census Tract,25017310300,White,03/2021,0,0,2023-11-04
Census Tract,25017310300,White,04/2021,0,0,2023-11-04
Census Tract,25017310300,White,05/2021,0,0,2023-11-04
Census Tract,25017310300,White,06/2021,0,0,2023-11-04
Census Tract,25017310300,White,07/2021,0,0,2023-11-04
Census Tract,25017310300,White,08/2021,0,0,2023-11-04
Census Tract,25017310300,White,09/2021,0,0,2023-11-04
Census Tract,25017310300,White,10/2021,0,0,2023-11-04
Census Tract,25017310300,White,11/2021,0,0,2023-11-04
Census Tract,25017310300,White,12/2021,0,0,2023-11-04
Census Tract,25017310300,White,01/2022,0,0,2023-11-04
Census Tract,25017310300,White,02/2022,0,0,2023-11-04
Census Tract,25017310300,White,03/2022,0,0,2023-11-04
Census Tract,25017310300,White,04/2022,0,0,2023-11-04
Census Tract,25017310300,White,05/2022,0,0,2023-11-04
Census Tract,25017310300,White,06/2022,0,0,2023-11-04
Census Tract,25017310300,White,07/2022,0,0,2023-11-04
Census Tract,25017310300,White,08/2022,0,0,2023-11-04
Census Tract,25017310300,White,09/2022,0,0,2023-11-04
Census Tract,25017310300,White,10/2022,0,0,2023-11-04
Census Tract,25017310300,White,11/2022,0,0,2023-11-04
Census Tract,25017310300,White,12/2022,0,0,2023-11-04
Census Tract,25017310300,White,01/2023,0,0,2023-11-04
Census Tract,25017310300,White,02/2023,0,0,2023-11-04
Census Tract,25017310300,White,03/2023,0,0,2023-11-04
Census Tract,25017310300,White,04/2023,0,0,2023-11-04
Census Tract,25017310300,White,05/2023,0,0,2023-11-04
Census Tract,25017310300,White,06/2023,0,0,2023-11-04
Census Tract,25017310300,White,07/2023,0,0,2023-11-04
Census Tract,25017310300,White,08/2023,0,0,2023-11-04
Census Tract,25017310300,White,09/2023,0,0,2023-11-04
Census Tract,25017310300,White,10/2023,0,0,2023-11-04
Census Tract,25017310300,White,11/2023,0,0,2023-11-04
Census Tract,25017310400,Other,01/2020,0,0,2023-11-04
Census Tract,25017310400,Other,02/2020,0,0,2023-11-04
Census Tract,25017310400,Other,03/2020,0,0,2023-11-04
Census Tract,25017310400,Other,04/2020,0,0,2023-11-04
Census Tract,25017310400,Other,05/2020,0,0,2023-11-04
Census Tract,25017310400,Other,06/2020,0,0,2023-11-04
Census Tract,25017310400,Other,07/2020,0,0,2023-11-04
Census Tract,25017310400,Other,08/2020,0,0,2023-11-04
Census Tract,25017310400,Other,09/2020,0,0,2023-11-04
Census Tract,25017310400,Other,10/2020,0,0,2023-11-04
Census Tract,25017310400,Other,11/2020,0,0,2023-11-04
Census Tract,25017310400,Other,12/2020,0,0,2023-11-04
Census Tract,25017310400,Other,01/2021,0,0,2023-11-04
Census Tract,25017310400,Other,02/2021,0,0,2023-11-04
Census Tract,25017310400,Other,03/2021,0,0,2023-11-04
Census Tract,25017310400,Other,04/2021,0,0,2023-11-04
Census Tract,25017310400,Other,05/2021,0,0,2023-11-04
Census Tract,25017310400,Other,06/2021,0,0,2023-11-04
Census Tract,25017310400,Other,07/2021,0,0,2023-11-04
Census Tract,25017310400,Other,08/2021,0,0,2023-11-04
Census Tract,25017310400,Other,09/2021,0,0,2023-11-04
Census Tract,25017310400,Other,10/2021,0,0,2023-11-04
Census Tract,25017310400,Other,11/2021,0,0,2023-11-04
Census Tract,25017310400,Other,12/2021,0,0,2023-11-04
Census Tract,25017310400,Other,01/2022,0,0,2023-11-04
Census Tract,25017310400,Other,02/2022,0,0,2023-11-04
Census Tract,25017310400,Other,03/2022,0,0,2023-11-04
Census Tract,25017310400,Other,04/2022,0,0,2023-11-04
Census Tract,25017310400,Other,05/2022,0,0,2023-11-04
Census Tract,25017310400,Other,06/2022,0,0,2023-11-04
Census Tract,25017310400,Other,07/2022,0,0,2023-11-04
Census Tract,25017310400,Other,08/2022,0,0,2023-11-04
Census Tract,25017310400,Other,09/2022,0,0,2023-11-04
Census Tract,25017310400,Other,10/2022,0,0,2023-11-04
Census Tract,25017310400,Other,11/2022,0,0,2023-11-04
Census Tract,25017310400,Other,12/2022,0,0,2023-11-04
Census Tract,25017310400,Other,01/2023,0,0,2023-11-04
Census Tract,25017310400,Other,02/2023,0,0,2023-11-04
Census Tract,25017310400,Other,03/2023,0,0,2023-11-04
Census Tract,25017310400,Other,04/2023,0,0,2023-11-04
Census Tract,25017310400,Other,05/2023,0,0,2023-11-04
Census Tract,25017310400,Other,06/2023,0,0,2023-11-04
Census Tract,25017310400,Other,07/2023,0,0,2023-11-04
Census Tract,25017310400,Other,08/2023,0,0,2023-11-04
Census Tract,25017310400,Other,09/2023,0,0,2023-11-04
Census Tract,25017310400,Other,10/2023,0,0,2023-11-04
Census Tract,25017310400,Other,11/2023,0,0,2023-11-04
Census Tract,25017310500,White,01/2020,0,0,2023-11-04
Census Tract,25017310500,White,02/2020,0,0,2023-11-04
Census Tract,25017310500,White,03/2020,0,0,2023-11-04
Census Tract,25017310500,White,04/2020,0,0,2023-11-04
Census Tract,25017310500,White,05/2020,0,0,2023-11-04
Census Tract,25017310500,White,06/2020,0,0,2023-11-04
Census Tract,25017310500,White,07/2020,0,0,2023-11-04
Census Tract,25017310500,White,08/2020,0,0,2023-11-04
Census Tract,25017310500,White,09/2020,0,0,2023-11-04
Census Tract,25017310500,White,10/2020,0,0,2023-11-04
Census Tract,25017310500,White,11/2020,0,0,2023-11-04
Census Tract,25017310500,White,12/2020,0,0,2023-11-04
Census Tract,25017310500,White,01/2021,0,0,2023-11-04
Census Tract,25017310500,White,02/2021,0,0,2023-11-04
Census Tract,25017310500,White,03/2021,0,0,2023-11-04
Census Tract,25017310500,White,04/2021,0,0,2023-11-04
Census Tract,25017310500,White,05/2021,0,0,2023-11-04
Census Tract,25017310500,White,06/2021,0,0,2023-11-04
Census Tract,25017310500,White,07/2021,0,0,2023-11-04
Census Tract,25017310500,White,08/2021,0,0,2023-11-04
Census Tract,25017310500,White,09/2021,0,0,2023-11-04
Census Tract,25017310500,White,10/2021,0,0,2023-11-04
Census Tract,25017310500,White,11/2021,0,0,2023-11-04
Census Tract,25017310500,White,12/2021,0,0,2023-11-04
Census Tract,25017310500,White,01/2022,0,0,2023-11-04
Census Tract,25017310500,White,02/2022,0,0,2023-11-04
Census Tract,25017310500,White,03/2022,0,0,2023-11-04
Census Tract,25017310500,White,04/2022,0,0,2023-11-04
Census Tract,25017310500,White,05/2022,0,0,2023-11-04
Census Tract,25017310500,White,06/2022,0,0,2023-11-04
Census Tract,25017310500,White,07/2022,0,0,2023-11-04
Census Tract,25017310500,White,08/2022,0,0,2023-11-04
Census Tract,25017310500,White,09/2022,0,0,2023-11-04
Census Tract,25017310500,White,10/2022,0,0,2023-11-04
Census Tract,25017310500,White,11/2022,0,0,2023-11-04
Census Tract,25017310500,White,12/2022,0,0,2023-11-04
Census Tract,25017310500,White,01/2023,0,0,2023-11-04
Census Tract,25017310500,White,02/2023,0,0,2023-11-04
Census Tract,25017310500,White,03/2023,0,0,2023-11-04
Census Tract,25017310500,White,04/2023,0,0,2023-11-04
Census Tract,25017310500,White,05/2023,0,0,2023-11-04
Census Tract,25017310500,White,06/2023,0,0,2023-11-04
Census Tract,25017310500,White,07/2023,0,0,2023-11-04
Census Tract,25017310500,White,08/2023,0,0,2023-11-04
Census Tract,25017310500,White,09/2023,0,0,2023-11-04
Census Tract,25017310500,White,10/2023,0,0,2023-11-04
Census Tract,25017310500,White,11/2023,0,0,2023-11-04
Census Tract,25017310601,White,01/2020,0,0,2023-11-04
Census Tract,25017310601,White,02/2020,0,0,2023-11-04
Census Tract,25017310601,White,03/2020,0,0,2023-11-04
Census Tract,25017310601,White,04/2020,0,0,2023-11-04
Census Tract,25017310601,White,05/2020,0,0,2023-11-04
Census Tract,25017310601,White,06/2020,0,0,2023-11-04
Census Tract,25017310601,White,07/2020,0,0,2023-11-04
Census Tract,25017310601,White,08/2020,0,0,2023-11-04
Census Tract,25017310601,White,09/2020,0,0,2023-11-04
Census Tract,25017310601,White,10/2020,0,0,2023-11-04
Census Tract,25017310601,White,11/2020,0,0,2023-11-04
Census Tract,25017310601,White,12/2020,0,0,2023-11-04
Census Tract,25017310601,White,01/2021,0,0,2023-11-04
Census Tract,25017310601,White,02/2021,0,0,2023-11-04
Census Tract,25017310601,White,03/2021,0,0,2023-11-04
Census Tract,25017310601,White,04/2021,0,0,2023-11-04
Census Tract,25017310601,White,05/2021,0,0,2023-11-04
Census Tract,25017310601,White,06/2021,0,0,2023-11-04
Census Tract,25017310601,White,07/2021,0,0,2023-11-04
Census Tract,25017310601,White,08/2021,0,0,2023-11-04
Census Tract,25017310601,White,09/2021,0,0,2023-11-04
Census Tract,25017310601,White,10/2021,0,0,2023-11-04
Census Tract,25017310601,White,11/2021,0,0,2023-11-04
Census Tract,25017310601,White,12/2021,0,0,2023-11-04
Census Tract,25017310601,White,01/2022,0,0,2023-11-04
Census Tract,25017310601,White,02/2022,0,0,2023-11-04
Census Tract,25017310601,White,03/2022,0,0,2023-11-04
Census Tract,25017310601,White,04/2022,0,0,2023-11-04
Census Tract,25017310601,White,05/2022,0,0,2023-11-04
Census Tract,25017310601,White,06/2022,0,0,2023-11-04
Census Tract,25017310601,White,07/2022,0,0,2023-11-04
Census Tract,25017310601,White,08/2022,0,0,2023-11-04
Census Tract,25017310601,White,09/2022,0,0,2023-11-04
Census Tract,25017310601,White,10/2022,0,0,2023-11-04
Census Tract,25017310601,White,11/2022,0,0,2023-11-04
Census Tract,25017310601,White,12/2022,0,0,2023-11-04
Census Tract,25017310601,White,01/2023,0,0,2023-11-04
Census Tract,25017310601,White,02/2023,0,0,2023-11-04
Census Tract,25017310601,White,03/2023,0,0,2023-11-04
Census Tract,25017310601,White,04/2023,0,0,2023-11-04
Census Tract,25017310601,White,05/2023,0,0,2023-11-04
Census Tract,25017310601,White,06/2023,0,0,2023-11-04
Census Tract,25017310601,White,07/2023,0,0,2023-11-04
Census Tract,25017310601,White,08/2023,0,0,2023-11-04
Census Tract,25017310601,White,09/2023,0,0,2023-11-04
Census Tract,25017310601,White,10/2023,0,0,2023-11-04
Census Tract,25017310601,White,11/2023,0,0,2023-11-04
Census Tract,25017310602,White,01/2020,0,0,2023-11-04
Census Tract,25017310602,White,02/2020,0,0,2023-11-04
Census Tract,25017310602,White,03/2020,0,0,2023-11-04
Census Tract,25017310602,White,04/2020,0,0,2023-11-04
Census Tract,25017310602,White,05/2020,0,0,2023-11-04
