type,GEOID,week,week_date,filings_2020,filings_avg,last_updated
Census Tract,10001040201,25,2020-06-14,0,2.25,2022-02-05
Census Tract,10001040201,26,2020-06-21,0,1,2022-02-05
Census Tract,10001040201,27,2020-06-28,0,3.25,2022-02-05
Census Tract,10001040201,28,2020-07-05,0,1,2022-02-05
Census Tract,10001040201,29,2020-07-12,1,2.75,2022-02-05
Census Tract,10001040201,30,2020-07-19,1,1.75,2022-02-05
Census Tract,10001040201,31,2020-07-26,0,1.75,2022-02-05
Census Tract,10001040201,32,2020-08-02,0,0.75,2022-02-05
Census Tract,10001040201,33,2020-08-09,2,0.5,2022-02-05
Census Tract,10001040201,34,2020-08-16,1,3,2022-02-05
Census Tract,10001040201,35,2020-08-23,0,0.5,2022-02-05
Census Tract,10001040201,36,2020-08-30,0,3,2022-02-05
Census Tract,10001040201,37,2020-09-06,0,1,2022-02-05
Census Tract,10001040201,38,2020-09-13,1,1,2022-02-05
Census Tract,10001040201,39,2020-09-20,0,1.25,2022-02-05
Census Tract,10001040201,40,2020-09-27,0,1.5,2022-02-05
Census Tract,10001040201,41,2020-10-04,5,0.5,2022-02-05
Census Tract,10001040201,42,2020-10-11,0,0.75,2022-02-05
Census Tract,10001040201,43,2020-10-18,0,2.25,2022-02-05
Census Tract,10001040201,44,2020-10-25,1,2.5,2022-02-05
Census Tract,10001040201,45,2020-11-01,0,1,2022-02-05
Census Tract,10001040201,46,2020-11-08,1,0.25,2022-02-05
Census Tract,10001040201,47,2020-11-15,0,2,2022-02-05
Census Tract,10001040201,48,2020-11-22,1,1.75,2022-02-05
Census Tract,10001040201,49,2020-11-29,0,1.5,2022-02-05
Census Tract,10001040201,50,2020-12-06,0,0.5,2022-02-05
Census Tract,10001040201,51,2020-12-13,0,0.75,2022-02-05
Census Tract,10001040201,52,2020-12-20,0,0.5,2022-02-05
Census Tract,10001040201,53,2020-12-27,0,2.75,2022-02-05
Census Tract,10001040201,54,2021-01-03,0,1,2022-02-05
Census Tract,10001040201,55,2021-01-10,0,2,2022-02-05
Census Tract,10001040201,56,2021-01-17,0,3.75,2022-02-05
Census Tract,10001040201,57,2021-01-24,1,2.25,2022-02-05
Census Tract,10001040201,58,2021-01-31,0,1.75,2022-02-05
Census Tract,10001040201,59,2021-02-07,0,0.5,2022-02-05
Census Tract,10001040201,60,2021-02-14,1,3.75,2022-02-05
Census Tract,10001040201,61,2021-02-21,3,2,2022-02-05
Census Tract,10001040201,62,2021-02-28,1,0.75,2022-02-05
Census Tract,10001040201,63,2021-03-07,1,1.75,2022-02-05
Census Tract,10001040201,64,2021-03-14,1,1.75,2022-02-05
Census Tract,10001040201,65,2021-03-21,0,1.75,2022-02-05
Census Tract,10001040201,66,2021-03-28,2,1,2022-02-05
Census Tract,10001040201,67,2021-04-04,1,0,2022-02-05
Census Tract,10001040201,68,2021-04-11,0,1,2022-02-05
Census Tract,10001040201,69,2021-04-18,0,4.75,2022-02-05
Census Tract,10001040201,70,2021-04-25,0,2.5,2022-02-05
Census Tract,10001040201,71,2021-05-02,1,0.75,2022-02-05
Census Tract,10001040201,72,2021-05-09,0,0.25,2022-02-05
Census Tract,10001040201,73,2021-05-16,1,2.75,2022-02-05
Census Tract,10001040201,74,2021-05-23,2,0.75,2022-02-05
Census Tract,10001040201,75,2021-05-30,0,3.25,2022-02-05
Census Tract,10001040201,76,2021-06-06,4,0.5,2022-02-05
Census Tract,10001040201,77,2021-06-13,3,1.5,2022-02-05
Census Tract,10001040201,78,2021-06-20,2,1.75,2022-02-05
Census Tract,10001040201,79,2021-06-27,2,3.5,2022-02-05
Census Tract,10001040201,80,2021-07-04,0,0.75,2022-02-05
Census Tract,10001040201,81,2021-07-11,0,2,2022-02-05
Census Tract,10001040201,82,2021-07-18,1,2.75,2022-02-05
Census Tract,10001040201,83,2021-07-25,0,1.5,2022-02-05
Census Tract,10001040201,84,2021-08-01,0,0.5,2022-02-05
Census Tract,10001040201,85,2021-08-08,0,1,2022-02-05
Census Tract,10001040201,86,2021-08-15,1,3,2022-02-05
Census Tract,10001040201,87,2021-08-22,1,0.5,2022-02-05
Census Tract,10001040201,88,2021-08-29,1,2.75,2022-02-05
Census Tract,10001040201,89,2021-09-05,2,1.25,2022-02-05
Census Tract,10001040201,90,2021-09-12,2,0.25,2022-02-05
Census Tract,10001040201,91,2021-09-19,1,1.75,2022-02-05
Census Tract,10001040201,92,2021-09-26,0,1.5,2022-02-05
Census Tract,10001040201,93,2021-10-03,1,0.5,2022-02-05
Census Tract,10001040201,94,2021-10-10,0,0.5,2022-02-05
Census Tract,10001040201,95,2021-10-17,0,2.75,2022-02-05
Census Tract,10001040201,96,2021-10-24,1,2,2022-02-05
Census Tract,10001040201,97,2021-10-31,0,0.75,2022-02-05
Census Tract,10001040201,98,2021-11-07,3,1,2022-02-05
Census Tract,10001040201,99,2021-11-14,2,2,2022-02-05
Census Tract,10001040201,100,2021-11-21,0,1.5,2022-02-05
Census Tract,10001040201,101,2021-11-28,0,1.75,2022-02-05
Census Tract,10001040201,102,2021-12-05,0,0,2022-02-05
Census Tract,10001040201,103,2021-12-12,2,0.75,2022-02-05
Census Tract,10001040201,104,2021-12-19,1,1,2022-02-05
Census Tract,10001040201,105,2021-12-26,0,2.5,2022-02-05
Census Tract,10001040201,106,2022-01-02,0,1.25,2022-02-05
Census Tract,10001040201,107,2022-01-09,0,1.25,2022-02-05
Census Tract,10001040201,108,2022-01-16,1,4.25,2022-02-05
Census Tract,10001040201,109,2022-01-23,1,2.5,2022-02-05
Census Tract,10001040201,110,2022-01-30,0,1.5,2022-02-05
Census Tract,10001040202,1,2019-12-29,1,0.5,2022-02-05
Census Tract,10001040202,2,2020-01-05,2,4.25,2022-02-05
Census Tract,10001040202,3,2020-01-12,0,2.25,2022-02-05
Census Tract,10001040202,4,2020-01-19,7,4,2022-02-05
Census Tract,10001040202,5,2020-01-26,0,5.25,2022-02-05
Census Tract,10001040202,6,2020-02-02,0,1.25,2022-02-05
Census Tract,10001040202,7,2020-02-09,1,3.25,2022-02-05
Census Tract,10001040202,8,2020-02-16,1,3.75,2022-02-05
Census Tract,10001040202,9,2020-02-23,0,1.75,2022-02-05
Census Tract,10001040202,10,2020-03-01,0,3,2022-02-05
Census Tract,10001040202,11,2020-03-08,4,2.75,2022-02-05
Census Tract,10001040202,12,2020-03-15,3,2.25,2022-02-05
Census Tract,10001040202,13,2020-03-22,0,5.5,2022-02-05
Census Tract,10001040202,14,2020-03-29,0,1.5,2022-02-05
Census Tract,10001040202,15,2020-04-05,0,0.25,2022-02-05
Census Tract,10001040202,16,2020-04-12,0,7.5,2022-02-05
Census Tract,10001040202,17,2020-04-19,0,1.5,2022-02-05
Census Tract,10001040202,18,2020-04-26,0,1.5,2022-02-05
Census Tract,10001040202,19,2020-05-03,0,2,2022-02-05
Census Tract,10001040202,20,2020-05-10,0,2,2022-02-05
Census Tract,10001040202,21,2020-05-17,0,5.5,2022-02-05
Census Tract,10001040202,22,2020-05-24,0,1.75,2022-02-05
Census Tract,10001040202,23,2020-05-31,0,1.25,2022-02-05
Census Tract,10001040202,24,2020-06-07,0,1.25,2022-02-05
Census Tract,10001040202,25,2020-06-14,0,5,2022-02-05
Census Tract,10001040202,26,2020-06-21,0,1.25,2022-02-05
Census Tract,10001040202,27,2020-06-28,0,2.25,2022-02-05
Census Tract,10001040202,28,2020-07-05,0,2.5,2022-02-05
Census Tract,10001040202,29,2020-07-12,4,1.25,2022-02-05
Census Tract,10001040202,30,2020-07-19,0,6,2022-02-05
Census Tract,10001040202,31,2020-07-26,0,2.75,2022-02-05
Census Tract,10001040202,32,2020-08-02,1,1.5,2022-02-05
Census Tract,10001040202,33,2020-08-09,3,2,2022-02-05
Census Tract,10001040202,34,2020-08-16,2,6.25,2022-02-05
Census Tract,10001040202,35,2020-08-23,0,1.5,2022-02-05
Census Tract,10001040202,36,2020-08-30,0,2,2022-02-05
Census Tract,10001040202,37,2020-09-06,0,3,2022-02-05
Census Tract,10001040202,38,2020-09-13,0,3.75,2022-02-05
Census Tract,10001040202,39,2020-09-20,0,4.25,2022-02-05
Census Tract,10001040202,40,2020-09-27,0,0.75,2022-02-05
Census Tract,10001040202,41,2020-10-04,0,5,2022-02-05
Census Tract,10001040202,42,2020-10-11,1,2.5,2022-02-05
Census Tract,10001040202,43,2020-10-18,0,4.75,2022-02-05
Census Tract,10001040202,44,2020-10-25,0,0.75,2022-02-05
Census Tract,10001040202,45,2020-11-01,0,1,2022-02-05
Census Tract,10001040202,46,2020-11-08,0,3.25,2022-02-05
Census Tract,10001040202,47,2020-11-15,0,3.75,2022-02-05
Census Tract,10001040202,48,2020-11-22,0,1.5,2022-02-05
Census Tract,10001040202,49,2020-11-29,0,0.75,2022-02-05
Census Tract,10001040202,50,2020-12-06,0,0.5,2022-02-05
Census Tract,10001040202,51,2020-12-13,2,5.25,2022-02-05
Census Tract,10001040202,52,2020-12-20,1,1,2022-02-05
Census Tract,10001040202,53,2020-12-27,5,2.75,2022-02-05
Census Tract,10001040202,54,2021-01-03,1,3.5,2022-02-05
Census Tract,10001040202,55,2021-01-10,6,2,2022-02-05
Census Tract,10001040202,56,2021-01-17,5,5,2022-02-05
Census Tract,10001040202,57,2021-01-24,1,5.75,2022-02-05
Census Tract,10001040202,58,2021-01-31,2,0.5,2022-02-05
Census Tract,10001040202,59,2021-02-07,1,3.75,2022-02-05
Census Tract,10001040202,60,2021-02-14,2,3,2022-02-05
Census Tract,10001040202,61,2021-02-21,3,2.75,2022-02-05
Census Tract,10001040202,62,2021-02-28,0,2.5,2022-02-05
Census Tract,10001040202,63,2021-03-07,2,2.5,2022-02-05
Census Tract,10001040202,64,2021-03-14,1,3,2022-02-05
Census Tract,10001040202,65,2021-03-21,0,2.5,2022-02-05
Census Tract,10001040202,66,2021-03-28,0,4.5,2022-02-05
Census Tract,10001040202,67,2021-04-04,0,0.25,2022-02-05
Census Tract,10001040202,68,2021-04-11,1,5,2022-02-05
Census Tract,10001040202,69,2021-04-18,1,3.25,2022-02-05
Census Tract,10001040202,70,2021-04-25,4,1.75,2022-02-05
Census Tract,10001040202,71,2021-05-02,0,2.25,2022-02-05
Census Tract,10001040202,72,2021-05-09,0,1.25,2022-02-05
Census Tract,10001040202,73,2021-05-16,0,6.25,2022-02-05
Census Tract,10001040202,74,2021-05-23,2,2,2022-02-05
Census Tract,10001040202,75,2021-05-30,1,1,2022-02-05
Census Tract,10001040202,76,2021-06-06,0,1.25,2022-02-05
Census Tract,10001040202,77,2021-06-13,2,3,2022-02-05
Census Tract,10001040202,78,2021-06-20,0,3.25,2022-02-05
Census Tract,10001040202,79,2021-06-27,0,2.5,2022-02-05
Census Tract,10001040202,80,2021-07-04,0,2.5,2022-02-05
Census Tract,10001040202,81,2021-07-11,1,1,2022-02-05
Census Tract,10001040202,82,2021-07-18,4,5.75,2022-02-05
Census Tract,10001040202,83,2021-07-25,1,3.25,2022-02-05
Census Tract,10001040202,84,2021-08-01,1,1,2022-02-05
Census Tract,10001040202,85,2021-08-08,0,1.5,2022-02-05
Census Tract,10001040202,86,2021-08-15,2,5.5,2022-02-05
Census Tract,10001040202,87,2021-08-22,7,3,2022-02-05
Census Tract,10001040202,88,2021-08-29,2,1.75,2022-02-05
Census Tract,10001040202,89,2021-09-05,4,3.5,2022-02-05
Census Tract,10001040202,90,2021-09-12,1,2.5,2022-02-05
Census Tract,10001040202,91,2021-09-19,4,5.25,2022-02-05
Census Tract,10001040202,92,2021-09-26,0,0.75,2022-02-05
Census Tract,10001040202,93,2021-10-03,1,2.75,2022-02-05
Census Tract,10001040202,94,2021-10-10,1,4.5,2022-02-05
Census Tract,10001040202,95,2021-10-17,1,5.25,2022-02-05
Census Tract,10001040202,96,2021-10-24,4,0,2022-02-05
Census Tract,10001040202,97,2021-10-31,0,1.75,2022-02-05
Census Tract,10001040202,98,2021-11-07,1,2,2022-02-05
Census Tract,10001040202,99,2021-11-14,0,4.5,2022-02-05
Census Tract,10001040202,100,2021-11-21,6,2,2022-02-05
Census Tract,10001040202,101,2021-11-28,6,0.75,2022-02-05
Census Tract,10001040202,102,2021-12-05,0,0.25,2022-02-05
Census Tract,10001040202,103,2021-12-12,0,4.75,2022-02-05
Census Tract,10001040202,104,2021-12-19,0,1.75,2022-02-05
Census Tract,10001040202,105,2021-12-26,1,2.75,2022-02-05
Census Tract,10001040202,106,2022-01-02,1,3.5,2022-02-05
Census Tract,10001040202,107,2022-01-09,0,1.5,2022-02-05
Census Tract,10001040202,108,2022-01-16,3,5.25,2022-02-05
Census Tract,10001040202,109,2022-01-23,1,5.5,2022-02-05
Census Tract,10001040202,110,2022-01-30,2,0.75,2022-02-05
Census Tract,10001040203,1,2019-12-29,1,1.25,2022-02-05
Census Tract,10001040203,2,2020-01-05,1,0.5,2022-02-05
Census Tract,10001040203,3,2020-01-12,0,0.75,2022-02-05
Census Tract,10001040203,4,2020-01-19,1,7.25,2022-02-05
Census Tract,10001040203,5,2020-01-26,0,0.75,2022-02-05
Census Tract,10001040203,6,2020-02-02,1,1,2022-02-05
Census Tract,10001040203,7,2020-02-09,2,1.25,2022-02-05
Census Tract,10001040203,8,2020-02-16,1,4,2022-02-05
Census Tract,10001040203,9,2020-02-23,3,2.25,2022-02-05
Census Tract,10001040203,10,2020-03-01,1,0.5,2022-02-05
Census Tract,10001040203,11,2020-03-08,0,1,2022-02-05
Census Tract,10001040203,12,2020-03-15,0,0.25,2022-02-05
Census Tract,10001040203,13,2020-03-22,0,0.5,2022-02-05
Census Tract,10001040203,14,2020-03-29,0,0.25,2022-02-05
Census Tract,10001040203,15,2020-04-05,0,0,2022-02-05
Census Tract,10001040203,16,2020-04-12,0,0.5,2022-02-05
Census Tract,10001040203,17,2020-04-19,0,2,2022-02-05
Census Tract,10001040203,18,2020-04-26,0,0.5,2022-02-05
Census Tract,10001040203,19,2020-05-03,0,1,2022-02-05
Census Tract,10001040203,20,2020-05-10,0,0.5,2022-02-05
Census Tract,10001040203,21,2020-05-17,0,2.25,2022-02-05
Census Tract,10001040203,22,2020-05-24,0,1.25,2022-02-05
Census Tract,10001040203,23,2020-05-31,0,0.5,2022-02-05
Census Tract,10001040203,24,2020-06-07,0,0.75,2022-02-05
Census Tract,10001040203,25,2020-06-14,0,1.75,2022-02-05
Census Tract,10001040203,26,2020-06-21,0,1.25,2022-02-05
Census Tract,10001040203,27,2020-06-28,0,2,2022-02-05
Census Tract,10001040203,28,2020-07-05,0,1,2022-02-05
Census Tract,10001040203,29,2020-07-12,0,2.75,2022-02-05
Census Tract,10001040203,30,2020-07-19,0,3.5,2022-02-05
Census Tract,10001040203,31,2020-07-26,1,1.5,2022-02-05
Census Tract,10001040203,32,2020-08-02,0,2.5,2022-02-05
Census Tract,10001040203,33,2020-08-09,0,0.25,2022-02-05
Census Tract,10001040203,34,2020-08-16,0,3.25,2022-02-05
Census Tract,10001040203,35,2020-08-23,0,1.25,2022-02-05
Census Tract,10001040203,36,2020-08-30,0,0.25,2022-02-05
Census Tract,10001040203,37,2020-09-06,0,1.25,2022-02-05
Census Tract,10001040203,38,2020-09-13,0,5.75,2022-02-05
Census Tract,10001040203,39,2020-09-20,1,1.75,2022-02-05
Census Tract,10001040203,40,2020-09-27,0,0.5,2022-02-05
Census Tract,10001040203,41,2020-10-04,1,1.5,2022-02-05
Census Tract,10001040203,42,2020-10-11,0,0.5,2022-02-05
Census Tract,10001040203,43,2020-10-18,0,5.5,2022-02-05
Census Tract,10001040203,44,2020-10-25,0,2.25,2022-02-05
Census Tract,10001040203,45,2020-11-01,1,1,2022-02-05
Census Tract,10001040203,46,2020-11-08,1,0,2022-02-05
Census Tract,10001040203,47,2020-11-15,0,5.75,2022-02-05
Census Tract,10001040203,48,2020-11-22,0,0.75,2022-02-05
Census Tract,10001040203,49,2020-11-29,0,0.75,2022-02-05
Census Tract,10001040203,50,2020-12-06,1,0,2022-02-05
Census Tract,10001040203,51,2020-12-13,0,0.75,2022-02-05
Census Tract,10001040203,52,2020-12-20,0,1.25,2022-02-05
Census Tract,10001040203,53,2020-12-27,1,0.75,2022-02-05
Census Tract,10001040203,54,2021-01-03,0,1.25,2022-02-05
Census Tract,10001040203,55,2021-01-10,1,1.25,2022-02-05
Census Tract,10001040203,56,2021-01-17,2,5.5,2022-02-05
Census Tract,10001040203,57,2021-01-24,0,2,2022-02-05
Census Tract,10001040203,58,2021-01-31,0,0.75,2022-02-05
Census Tract,10001040203,59,2021-02-07,1,1.75,2022-02-05
Census Tract,10001040203,60,2021-02-14,0,3,2022-02-05
Census Tract,10001040203,61,2021-02-21,1,3.5,2022-02-05
Census Tract,10001040203,62,2021-02-28,1,0.5,2022-02-05
Census Tract,10001040203,63,2021-03-07,0,0.5,2022-02-05
Census Tract,10001040203,64,2021-03-14,2,0.5,2022-02-05
Census Tract,10001040203,65,2021-03-21,0,0.75,2022-02-05
Census Tract,10001040203,66,2021-03-28,0,0.25,2022-02-05
Census Tract,10001040203,67,2021-04-04,1,0,2022-02-05
Census Tract,10001040203,68,2021-04-11,1,0.5,2022-02-05
Census Tract,10001040203,69,2021-04-18,0,1.75,2022-02-05
Census Tract,10001040203,70,2021-04-25,0,0.5,2022-02-05
Census Tract,10001040203,71,2021-05-02,2,1,2022-02-05
Census Tract,10001040203,72,2021-05-09,0,0.75,2022-02-05
Census Tract,10001040203,73,2021-05-16,0,2.25,2022-02-05
Census Tract,10001040203,74,2021-05-23,0,1,2022-02-05
Census Tract,10001040203,75,2021-05-30,2,0.5,2022-02-05
Census Tract,10001040203,76,2021-06-06,0,1,2022-02-05
Census Tract,10001040203,77,2021-06-13,0,1.75,2022-02-05
Census Tract,10001040203,78,2021-06-20,1,1.25,2022-02-05
Census Tract,10001040203,79,2021-06-27,1,2,2022-02-05
Census Tract,10001040203,80,2021-07-04,0,0.75,2022-02-05
Census Tract,10001040203,81,2021-07-11,3,0.75,2022-02-05
Census Tract,10001040203,82,2021-07-18,0,5.75,2022-02-05
Census Tract,10001040203,83,2021-07-25,0,1.5,2022-02-05
Census Tract,10001040203,84,2021-08-01,1,2.5,2022-02-05
Census Tract,10001040203,85,2021-08-08,0,0.25,2022-02-05
Census Tract,10001040203,86,2021-08-15,0,3,2022-02-05
Census Tract,10001040203,87,2021-08-22,0,1.5,2022-02-05
Census Tract,10001040203,88,2021-08-29,0,0.25,2022-02-05
Census Tract,10001040203,89,2021-09-05,0,1.25,2022-02-05
Census Tract,10001040203,90,2021-09-12,2,5,2022-02-05
Census Tract,10001040203,91,2021-09-19,1,2.5,2022-02-05
Census Tract,10001040203,92,2021-09-26,1,0.5,2022-02-05
Census Tract,10001040203,93,2021-10-03,0,1,2022-02-05
Census Tract,10001040203,94,2021-10-10,0,1,2022-02-05
Census Tract,10001040203,95,2021-10-17,0,5.25,2022-02-05
Census Tract,10001040203,96,2021-10-24,0,2.25,2022-02-05
Census Tract,10001040203,97,2021-10-31,0,1.25,2022-02-05
Census Tract,10001040203,98,2021-11-07,0,0,2022-02-05
