type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,last_updated
Census Tract,39049000110,White,88,2021-08-29,0,0,2022-02-12
Census Tract,39049000110,White,89,2021-09-05,0,0,2022-02-12
Census Tract,39049000110,White,90,2021-09-12,0,0.333333333333333,2022-02-12
Census Tract,39049000110,White,91,2021-09-19,0,0,2022-02-12
Census Tract,39049000110,White,92,2021-09-26,0,0.333333333333333,2022-02-12
Census Tract,39049000110,White,93,2021-10-03,0,0,2022-02-12
Census Tract,39049000110,White,94,2021-10-10,0,0,2022-02-12
Census Tract,39049000110,White,95,2021-10-17,0,0,2022-02-12
Census Tract,39049000110,White,96,2021-10-24,0,0,2022-02-12
Census Tract,39049000110,White,97,2021-10-31,0,0,2022-02-12
Census Tract,39049000110,White,98,2021-11-07,0,0.333333333333333,2022-02-12
Census Tract,39049000110,White,99,2021-11-14,0,0,2022-02-12
Census Tract,39049000110,White,100,2021-11-21,0,0,2022-02-12
Census Tract,39049000110,White,101,2021-11-28,0,0,2022-02-12
Census Tract,39049000110,White,102,2021-12-05,0,0,2022-02-12
Census Tract,39049000110,White,103,2021-12-12,0,0,2022-02-12
Census Tract,39049000110,White,104,2021-12-19,0,0,2022-02-12
Census Tract,39049000110,White,105,2021-12-26,0,0,2022-02-12
Census Tract,39049000110,White,106,2022-01-02,0,0,2022-02-12
Census Tract,39049000110,White,107,2022-01-09,0,0.666666666666667,2022-02-12
Census Tract,39049000110,White,108,2022-01-16,0,0,2022-02-12
Census Tract,39049000110,White,109,2022-01-23,0,0.333333333333333,2022-02-12
Census Tract,39049000110,White,110,2022-01-30,0,0,2022-02-12
Census Tract,39049000110,White,111,2022-02-06,0,0.666666666666667,2022-02-12
Census Tract,39049000120,White,1,2019-12-29,0,0,2022-02-12
Census Tract,39049000120,White,2,2020-01-05,0,0,2022-02-12
Census Tract,39049000120,White,3,2020-01-12,0,0,2022-02-12
Census Tract,39049000120,White,4,2020-01-19,0,0,2022-02-12
Census Tract,39049000120,White,5,2020-01-26,0,0,2022-02-12
Census Tract,39049000120,White,6,2020-02-02,0,0,2022-02-12
Census Tract,39049000120,White,7,2020-02-09,0,0,2022-02-12
Census Tract,39049000120,White,8,2020-02-16,0,0,2022-02-12
Census Tract,39049000120,White,9,2020-02-23,0,0,2022-02-12
Census Tract,39049000120,White,10,2020-03-01,0,0,2022-02-12
Census Tract,39049000120,White,11,2020-03-08,0,0,2022-02-12
Census Tract,39049000120,White,12,2020-03-15,0,0,2022-02-12
Census Tract,39049000120,White,13,2020-03-22,0,0,2022-02-12
Census Tract,39049000120,White,14,2020-03-29,0,0,2022-02-12
Census Tract,39049000120,White,15,2020-04-05,0,0,2022-02-12
Census Tract,39049000120,White,16,2020-04-12,0,0.333333333333333,2022-02-12
Census Tract,39049000120,White,17,2020-04-19,0,0,2022-02-12
Census Tract,39049000120,White,18,2020-04-26,0,0,2022-02-12
Census Tract,39049000120,White,19,2020-05-03,0,0,2022-02-12
Census Tract,39049000120,White,20,2020-05-10,0,0,2022-02-12
Census Tract,39049000120,White,21,2020-05-17,0,0,2022-02-12
Census Tract,39049000120,White,22,2020-05-24,0,0,2022-02-12
Census Tract,39049000120,White,23,2020-05-31,0,0,2022-02-12
Census Tract,39049000120,White,24,2020-06-07,0,0,2022-02-12
Census Tract,39049000120,White,25,2020-06-14,0,0,2022-02-12
Census Tract,39049000120,White,26,2020-06-21,0,0.333333333333333,2022-02-12
Census Tract,39049000120,White,27,2020-06-28,0,0,2022-02-12
Census Tract,39049000120,White,28,2020-07-05,0,0,2022-02-12
Census Tract,39049000120,White,29,2020-07-12,0,0,2022-02-12
Census Tract,39049000120,White,30,2020-07-19,0,0,2022-02-12
Census Tract,39049000120,White,31,2020-07-26,0,0,2022-02-12
Census Tract,39049000120,White,32,2020-08-02,0,0,2022-02-12
Census Tract,39049000120,White,33,2020-08-09,0,0.333333333333333,2022-02-12
Census Tract,39049000120,White,34,2020-08-16,0,0,2022-02-12
Census Tract,39049000120,White,35,2020-08-23,0,0,2022-02-12
Census Tract,39049000120,White,36,2020-08-30,0,0,2022-02-12
Census Tract,39049000120,White,37,2020-09-06,0,0.333333333333333,2022-02-12
Census Tract,39049000120,White,38,2020-09-13,0,0.333333333333333,2022-02-12
Census Tract,39049000120,White,39,2020-09-20,0,0,2022-02-12
Census Tract,39049000120,White,40,2020-09-27,0,0.333333333333333,2022-02-12
Census Tract,39049000120,White,41,2020-10-04,0,0,2022-02-12
Census Tract,39049000120,White,42,2020-10-11,0,0,2022-02-12
Census Tract,39049000120,White,43,2020-10-18,0,0,2022-02-12
Census Tract,39049000120,White,44,2020-10-25,0,0.333333333333333,2022-02-12
Census Tract,39049000120,White,45,2020-11-01,0,0,2022-02-12
Census Tract,39049000120,White,46,2020-11-08,0,0,2022-02-12
Census Tract,39049000120,White,47,2020-11-15,0,0,2022-02-12
Census Tract,39049000120,White,48,2020-11-22,0,0,2022-02-12
Census Tract,39049000120,White,49,2020-11-29,0,0,2022-02-12
Census Tract,39049000120,White,50,2020-12-06,0,0,2022-02-12
Census Tract,39049000120,White,51,2020-12-13,0,0,2022-02-12
Census Tract,39049000120,White,52,2020-12-20,0,0,2022-02-12
Census Tract,39049000120,White,53,2020-12-27,0,0,2022-02-12
Census Tract,39049000120,White,54,2021-01-03,0,0,2022-02-12
Census Tract,39049000120,White,55,2021-01-10,0,0,2022-02-12
Census Tract,39049000120,White,56,2021-01-17,0,0,2022-02-12
Census Tract,39049000120,White,57,2021-01-24,0,0,2022-02-12
Census Tract,39049000120,White,58,2021-01-31,0,0,2022-02-12
Census Tract,39049000120,White,59,2021-02-07,0,0,2022-02-12
Census Tract,39049000120,White,60,2021-02-14,0,0,2022-02-12
Census Tract,39049000120,White,61,2021-02-21,0,0,2022-02-12
Census Tract,39049000120,White,62,2021-02-28,0,0,2022-02-12
Census Tract,39049000120,White,63,2021-03-07,0,0,2022-02-12
Census Tract,39049000120,White,64,2021-03-14,0,0,2022-02-12
Census Tract,39049000120,White,65,2021-03-21,0,0,2022-02-12
Census Tract,39049000120,White,66,2021-03-28,0,0,2022-02-12
Census Tract,39049000120,White,67,2021-04-04,0,0,2022-02-12
Census Tract,39049000120,White,68,2021-04-11,0,0.333333333333333,2022-02-12
Census Tract,39049000120,White,69,2021-04-18,0,0,2022-02-12
Census Tract,39049000120,White,70,2021-04-25,0,0,2022-02-12
Census Tract,39049000120,White,71,2021-05-02,0,0,2022-02-12
Census Tract,39049000120,White,72,2021-05-09,0,0,2022-02-12
Census Tract,39049000120,White,73,2021-05-16,0,0,2022-02-12
Census Tract,39049000120,White,74,2021-05-23,0,0,2022-02-12
Census Tract,39049000120,White,75,2021-05-30,0,0,2022-02-12
Census Tract,39049000120,White,76,2021-06-06,0,0,2022-02-12
Census Tract,39049000120,White,77,2021-06-13,0,0,2022-02-12
Census Tract,39049000120,White,78,2021-06-20,0,0.333333333333333,2022-02-12
Census Tract,39049000120,White,79,2021-06-27,0,0,2022-02-12
Census Tract,39049000120,White,80,2021-07-04,0,0,2022-02-12
Census Tract,39049000120,White,81,2021-07-11,0,0,2022-02-12
Census Tract,39049000120,White,82,2021-07-18,0,0,2022-02-12
Census Tract,39049000120,White,83,2021-07-25,0,0,2022-02-12
Census Tract,39049000120,White,84,2021-08-01,0,0,2022-02-12
Census Tract,39049000120,White,85,2021-08-08,0,0.333333333333333,2022-02-12
Census Tract,39049000120,White,86,2021-08-15,0,0,2022-02-12
Census Tract,39049000120,White,87,2021-08-22,0,0,2022-02-12
Census Tract,39049000120,White,88,2021-08-29,0,0,2022-02-12
Census Tract,39049000120,White,89,2021-09-05,0,0,2022-02-12
Census Tract,39049000120,White,90,2021-09-12,1,0.333333333333333,2022-02-12
Census Tract,39049000120,White,91,2021-09-19,0,0.333333333333333,2022-02-12
Census Tract,39049000120,White,92,2021-09-26,0,0.333333333333333,2022-02-12
Census Tract,39049000120,White,93,2021-10-03,0,0,2022-02-12
Census Tract,39049000120,White,94,2021-10-10,0,0,2022-02-12
Census Tract,39049000120,White,95,2021-10-17,0,0,2022-02-12
Census Tract,39049000120,White,96,2021-10-24,0,0,2022-02-12
Census Tract,39049000120,White,97,2021-10-31,0,0.333333333333333,2022-02-12
Census Tract,39049000120,White,98,2021-11-07,0,0,2022-02-12
Census Tract,39049000120,White,99,2021-11-14,0,0,2022-02-12
Census Tract,39049000120,White,100,2021-11-21,0,0,2022-02-12
Census Tract,39049000120,White,101,2021-11-28,0,0,2022-02-12
Census Tract,39049000120,White,102,2021-12-05,0,0,2022-02-12
Census Tract,39049000120,White,103,2021-12-12,0,0,2022-02-12
Census Tract,39049000120,White,104,2021-12-19,0,0,2022-02-12
Census Tract,39049000120,White,105,2021-12-26,0,0,2022-02-12
Census Tract,39049000120,White,106,2022-01-02,0,0,2022-02-12
Census Tract,39049000120,White,107,2022-01-09,0,0,2022-02-12
Census Tract,39049000120,White,108,2022-01-16,0,0,2022-02-12
Census Tract,39049000120,White,109,2022-01-23,0,0,2022-02-12
Census Tract,39049000120,White,110,2022-01-30,0,0,2022-02-12
Census Tract,39049000120,White,111,2022-02-06,0,0,2022-02-12
Census Tract,39049000210,White,1,2019-12-29,0,0,2022-02-12
Census Tract,39049000210,White,2,2020-01-05,0,0,2022-02-12
Census Tract,39049000210,White,3,2020-01-12,2,0,2022-02-12
Census Tract,39049000210,White,4,2020-01-19,1,0,2022-02-12
Census Tract,39049000210,White,5,2020-01-26,1,0.333333333333333,2022-02-12
Census Tract,39049000210,White,6,2020-02-02,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,7,2020-02-09,0,0,2022-02-12
Census Tract,39049000210,White,8,2020-02-16,0,0,2022-02-12
Census Tract,39049000210,White,9,2020-02-23,0,0,2022-02-12
Census Tract,39049000210,White,10,2020-03-01,0,0,2022-02-12
Census Tract,39049000210,White,11,2020-03-08,0,0,2022-02-12
Census Tract,39049000210,White,12,2020-03-15,0,0,2022-02-12
Census Tract,39049000210,White,13,2020-03-22,0,0,2022-02-12
Census Tract,39049000210,White,14,2020-03-29,0,0,2022-02-12
Census Tract,39049000210,White,15,2020-04-05,0,0,2022-02-12
Census Tract,39049000210,White,16,2020-04-12,0,0,2022-02-12
Census Tract,39049000210,White,17,2020-04-19,0,0,2022-02-12
Census Tract,39049000210,White,18,2020-04-26,0,0,2022-02-12
Census Tract,39049000210,White,19,2020-05-03,0,0,2022-02-12
Census Tract,39049000210,White,20,2020-05-10,0,0,2022-02-12
Census Tract,39049000210,White,21,2020-05-17,0,0,2022-02-12
Census Tract,39049000210,White,22,2020-05-24,0,0,2022-02-12
Census Tract,39049000210,White,23,2020-05-31,0,0,2022-02-12
Census Tract,39049000210,White,24,2020-06-07,0,0,2022-02-12
Census Tract,39049000210,White,25,2020-06-14,0,0,2022-02-12
Census Tract,39049000210,White,26,2020-06-21,0,0,2022-02-12
Census Tract,39049000210,White,27,2020-06-28,0,0,2022-02-12
Census Tract,39049000210,White,28,2020-07-05,0,0,2022-02-12
Census Tract,39049000210,White,29,2020-07-12,0,0,2022-02-12
Census Tract,39049000210,White,30,2020-07-19,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,31,2020-07-26,0,0.666666666666667,2022-02-12
Census Tract,39049000210,White,32,2020-08-02,0,0,2022-02-12
Census Tract,39049000210,White,33,2020-08-09,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,34,2020-08-16,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,35,2020-08-23,0,0,2022-02-12
Census Tract,39049000210,White,36,2020-08-30,0,0,2022-02-12
Census Tract,39049000210,White,37,2020-09-06,0,0,2022-02-12
Census Tract,39049000210,White,38,2020-09-13,0,0,2022-02-12
Census Tract,39049000210,White,39,2020-09-20,0,0,2022-02-12
Census Tract,39049000210,White,40,2020-09-27,0,0,2022-02-12
Census Tract,39049000210,White,41,2020-10-04,0,0,2022-02-12
Census Tract,39049000210,White,42,2020-10-11,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,43,2020-10-18,0,0.666666666666667,2022-02-12
Census Tract,39049000210,White,44,2020-10-25,0,0,2022-02-12
Census Tract,39049000210,White,45,2020-11-01,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,46,2020-11-08,0,0,2022-02-12
Census Tract,39049000210,White,47,2020-11-15,0,0.666666666666667,2022-02-12
Census Tract,39049000210,White,48,2020-11-22,0,0,2022-02-12
Census Tract,39049000210,White,49,2020-11-29,0,0,2022-02-12
Census Tract,39049000210,White,50,2020-12-06,0,0,2022-02-12
Census Tract,39049000210,White,51,2020-12-13,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,52,2020-12-20,0,0,2022-02-12
Census Tract,39049000210,White,53,2020-12-27,0,0,2022-02-12
Census Tract,39049000210,White,54,2021-01-03,0,0,2022-02-12
Census Tract,39049000210,White,55,2021-01-10,0,0,2022-02-12
Census Tract,39049000210,White,56,2021-01-17,0,0,2022-02-12
Census Tract,39049000210,White,57,2021-01-24,1,0.333333333333333,2022-02-12
Census Tract,39049000210,White,58,2021-01-31,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,59,2021-02-07,0,0,2022-02-12
Census Tract,39049000210,White,60,2021-02-14,0,0,2022-02-12
Census Tract,39049000210,White,61,2021-02-21,0,0,2022-02-12
Census Tract,39049000210,White,62,2021-02-28,0,0,2022-02-12
Census Tract,39049000210,White,63,2021-03-07,0,0,2022-02-12
Census Tract,39049000210,White,64,2021-03-14,0,0,2022-02-12
Census Tract,39049000210,White,65,2021-03-21,0,0,2022-02-12
Census Tract,39049000210,White,66,2021-03-28,0,0,2022-02-12
Census Tract,39049000210,White,67,2021-04-04,0,0,2022-02-12
Census Tract,39049000210,White,68,2021-04-11,1,0,2022-02-12
Census Tract,39049000210,White,69,2021-04-18,0,0,2022-02-12
Census Tract,39049000210,White,70,2021-04-25,0,0,2022-02-12
Census Tract,39049000210,White,71,2021-05-02,0,0,2022-02-12
Census Tract,39049000210,White,72,2021-05-09,0,0,2022-02-12
Census Tract,39049000210,White,73,2021-05-16,0,0,2022-02-12
Census Tract,39049000210,White,74,2021-05-23,0,0,2022-02-12
Census Tract,39049000210,White,75,2021-05-30,0,0,2022-02-12
Census Tract,39049000210,White,76,2021-06-06,0,0,2022-02-12
Census Tract,39049000210,White,77,2021-06-13,0,0,2022-02-12
Census Tract,39049000210,White,78,2021-06-20,0,0,2022-02-12
Census Tract,39049000210,White,79,2021-06-27,0,0,2022-02-12
Census Tract,39049000210,White,80,2021-07-04,0,0,2022-02-12
Census Tract,39049000210,White,81,2021-07-11,0,0,2022-02-12
Census Tract,39049000210,White,82,2021-07-18,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,83,2021-07-25,0,0.666666666666667,2022-02-12
Census Tract,39049000210,White,84,2021-08-01,0,0,2022-02-12
Census Tract,39049000210,White,85,2021-08-08,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,86,2021-08-15,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,87,2021-08-22,0,0,2022-02-12
Census Tract,39049000210,White,88,2021-08-29,0,0,2022-02-12
Census Tract,39049000210,White,89,2021-09-05,0,0,2022-02-12
Census Tract,39049000210,White,90,2021-09-12,0,0,2022-02-12
Census Tract,39049000210,White,91,2021-09-19,0,0,2022-02-12
Census Tract,39049000210,White,92,2021-09-26,0,0,2022-02-12
Census Tract,39049000210,White,93,2021-10-03,0,0,2022-02-12
Census Tract,39049000210,White,94,2021-10-10,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,95,2021-10-17,0,0.666666666666667,2022-02-12
Census Tract,39049000210,White,96,2021-10-24,0,0,2022-02-12
Census Tract,39049000210,White,97,2021-10-31,0,0,2022-02-12
Census Tract,39049000210,White,98,2021-11-07,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,99,2021-11-14,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,100,2021-11-21,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,101,2021-11-28,0,0,2022-02-12
Census Tract,39049000210,White,102,2021-12-05,0,0,2022-02-12
Census Tract,39049000210,White,103,2021-12-12,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,104,2021-12-19,0,0,2022-02-12
Census Tract,39049000210,White,105,2021-12-26,0,0,2022-02-12
Census Tract,39049000210,White,106,2022-01-02,0,0,2022-02-12
Census Tract,39049000210,White,107,2022-01-09,0,0,2022-02-12
Census Tract,39049000210,White,108,2022-01-16,0,0,2022-02-12
Census Tract,39049000210,White,109,2022-01-23,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,110,2022-01-30,0,0.333333333333333,2022-02-12
Census Tract,39049000210,White,111,2022-02-06,0,0,2022-02-12
Census Tract,39049000220,White,1,2019-12-29,0,0,2022-02-12
Census Tract,39049000220,White,2,2020-01-05,0,0,2022-02-12
Census Tract,39049000220,White,3,2020-01-12,2,0,2022-02-12
Census Tract,39049000220,White,4,2020-01-19,0,0,2022-02-12
Census Tract,39049000220,White,5,2020-01-26,0,0,2022-02-12
Census Tract,39049000220,White,6,2020-02-02,0,0,2022-02-12
Census Tract,39049000220,White,7,2020-02-09,0,0,2022-02-12
Census Tract,39049000220,White,8,2020-02-16,0,0,2022-02-12
Census Tract,39049000220,White,9,2020-02-23,0,0,2022-02-12
Census Tract,39049000220,White,10,2020-03-01,0,0,2022-02-12
Census Tract,39049000220,White,11,2020-03-08,0,0,2022-02-12
Census Tract,39049000220,White,12,2020-03-15,0,0,2022-02-12
Census Tract,39049000220,White,13,2020-03-22,0,0,2022-02-12
Census Tract,39049000220,White,14,2020-03-29,0,0,2022-02-12
Census Tract,39049000220,White,15,2020-04-05,0,0,2022-02-12
Census Tract,39049000220,White,16,2020-04-12,0,0.333333333333333,2022-02-12
Census Tract,39049000220,White,17,2020-04-19,0,0,2022-02-12
Census Tract,39049000220,White,18,2020-04-26,0,0.333333333333333,2022-02-12
Census Tract,39049000220,White,19,2020-05-03,0,0,2022-02-12
Census Tract,39049000220,White,20,2020-05-10,0,0,2022-02-12
Census Tract,39049000220,White,21,2020-05-17,0,0,2022-02-12
Census Tract,39049000220,White,22,2020-05-24,0,0,2022-02-12
Census Tract,39049000220,White,23,2020-05-31,0,0.666666666666667,2022-02-12
Census Tract,39049000220,White,24,2020-06-07,0,0,2022-02-12
Census Tract,39049000220,White,25,2020-06-14,0,0.333333333333333,2022-02-12
Census Tract,39049000220,White,26,2020-06-21,0,0,2022-02-12
Census Tract,39049000220,White,27,2020-06-28,0,0,2022-02-12
Census Tract,39049000220,White,28,2020-07-05,0,0,2022-02-12
Census Tract,39049000220,White,29,2020-07-12,0,0.333333333333333,2022-02-12
Census Tract,39049000220,White,30,2020-07-19,0,0.333333333333333,2022-02-12
Census Tract,39049000220,White,31,2020-07-26,0,0,2022-02-12
Census Tract,39049000220,White,32,2020-08-02,0,0,2022-02-12
Census Tract,39049000220,White,33,2020-08-09,0,0,2022-02-12
Census Tract,39049000220,White,34,2020-08-16,0,0,2022-02-12
Census Tract,39049000220,White,35,2020-08-23,0,0,2022-02-12
Census Tract,39049000220,White,36,2020-08-30,0,0,2022-02-12
Census Tract,39049000220,White,37,2020-09-06,0,0,2022-02-12
Census Tract,39049000220,White,38,2020-09-13,0,0.333333333333333,2022-02-12
Census Tract,39049000220,White,39,2020-09-20,0,0,2022-02-12
Census Tract,39049000220,White,40,2020-09-27,0,0,2022-02-12
Census Tract,39049000220,White,41,2020-10-04,0,0,2022-02-12
Census Tract,39049000220,White,42,2020-10-11,0,0,2022-02-12
Census Tract,39049000220,White,43,2020-10-18,0,0,2022-02-12
Census Tract,39049000220,White,44,2020-10-25,0,0,2022-02-12
Census Tract,39049000220,White,45,2020-11-01,0,0,2022-02-12
Census Tract,39049000220,White,46,2020-11-08,0,0,2022-02-12
Census Tract,39049000220,White,47,2020-11-15,0,0,2022-02-12
Census Tract,39049000220,White,48,2020-11-22,0,0,2022-02-12
Census Tract,39049000220,White,49,2020-11-29,0,0,2022-02-12
Census Tract,39049000220,White,50,2020-12-06,0,0,2022-02-12
Census Tract,39049000220,White,51,2020-12-13,0,0,2022-02-12
Census Tract,39049000220,White,52,2020-12-20,0,0.333333333333333,2022-02-12
Census Tract,39049000220,White,53,2020-12-27,0,0,2022-02-12
Census Tract,39049000220,White,54,2021-01-03,1,0,2022-02-12
Census Tract,39049000220,White,55,2021-01-10,0,0,2022-02-12
Census Tract,39049000220,White,56,2021-01-17,0,0,2022-02-12
Census Tract,39049000220,White,57,2021-01-24,0,0,2022-02-12
Census Tract,39049000220,White,58,2021-01-31,0,0,2022-02-12
Census Tract,39049000220,White,59,2021-02-07,0,0,2022-02-12
Census Tract,39049000220,White,60,2021-02-14,0,0,2022-02-12
Census Tract,39049000220,White,61,2021-02-21,0,0,2022-02-12
Census Tract,39049000220,White,62,2021-02-28,0,0,2022-02-12
Census Tract,39049000220,White,63,2021-03-07,0,0,2022-02-12
Census Tract,39049000220,White,64,2021-03-14,0,0,2022-02-12
Census Tract,39049000220,White,65,2021-03-21,0,0,2022-02-12
Census Tract,39049000220,White,66,2021-03-28,0,0,2022-02-12
Census Tract,39049000220,White,67,2021-04-04,0,0,2022-02-12
Census Tract,39049000220,White,68,2021-04-11,0,0.333333333333333,2022-02-12
Census Tract,39049000220,White,69,2021-04-18,1,0,2022-02-12
Census Tract,39049000220,White,70,2021-04-25,0,0.333333333333333,2022-02-12
Census Tract,39049000220,White,71,2021-05-02,0,0,2022-02-12
Census Tract,39049000220,White,72,2021-05-09,0,0,2022-02-12
Census Tract,39049000220,White,73,2021-05-16,0,0,2022-02-12
Census Tract,39049000220,White,74,2021-05-23,0,0,2022-02-12
Census Tract,39049000220,White,75,2021-05-30,0,0.666666666666667,2022-02-12
